更新时间：,04-12 18:50
中风险,江苏,徐州市鼓楼区山水路商业街A-1-24
中风险,江苏,徐州市鼓楼区中山北路336-6
中风险,江苏,徐州市鼓楼区华美东观园10号楼
中风险,江苏,徐州市鼓楼区荆南小区14号楼
中风险,江苏,徐州市鼓楼区荆南小区2号楼
中风险,山东,威海市文登区张淑静鞋料加工厂（文登区环山办城西西街1-3号）
中风险,湖南,长沙市天心区城南路街道席草田巷2、3、5、7、9、11、13、15、17、19、20号；天心街1—11号、12-74号（双号）；白沙街8号二单元；席草田巷1号含（萝卜白菜）经营场所；熙台岭巷41—45号（单号）、52-98号（双号）；南福巷6-8号；里仁坡1—7号、11—37号、45号；城南西路93号（德雅村）—109号（好牙医华盛店）以南；里仁坡2—10号以北
中风险,湖南,长沙市天心区新开铺街道天翔新新家园A栋
中风险,湖南,衡阳市衡东县石滩乡石金村小泉屋组
中风险,天津,西青区市张家窝镇香榭园26号楼1门
中风险,江西,抚州市南城县G35济广高速鹰瑞段南城服务区
中风险,江西,南昌市新建区石岗镇长征路15号
中风险,江西,南昌市新建区石岗镇田北村谌家老居
中风险,江西,南昌市新建区石岗镇界坛村
中风险,四川,乐山市犍为县玉津镇滨江路东方花园小区
中风险,四川,乐山市犍为县玉津镇麻柳路翠湖公园小区
中风险,四川,乐山市犍为县玉津镇罗城路众恒中央公园E区
中风险,河北,廊坊市霸州市杨芬港镇褚西村
中风险,河北,廊坊市安次区东沽港镇桃园村
中风险,河北,廊坊市安次区东沽港镇淘河村
中风险,河北,邯郸市鸡泽县浮图店镇
中风险,河北,唐山市路北区君瑞联合农贸市场
中风险,辽宁,大连市金普新区马桥子街道凯悦公寓B座
中风险,辽宁,营口市鲅鱼圈区新港小区
中风险,辽宁,营口市鲅鱼圈区恒祥湾·富贵园
中风险,辽宁,营口市鲅鱼圈区金禾一品财富广场
中风险,辽宁,营口市鲅鱼圈区金座A区
中风险,辽宁,营口市鲅鱼圈区群星国际新城
中风险,辽宁,沈阳市大东区钢花小区
中风险,辽宁,沈阳市大东区中体奥林匹克花园新城
中风险,辽宁,沈阳市大东区惠民家园
中风险,内蒙古,赤峰市巴林左旗西城街道赛汗小区
中风险,上海,浦东新区市北蔡镇御北路235号
中风险,上海,浦东新区市康桥镇苗桥路935弄19号
中风险,上海,浦东新区市北蔡镇鹏飞路411弄6号
中风险,上海,浦东新区市北蔡镇联勤村冯桥南宅
中风险,上海,浦东新区市日京路88号
中风险,上海,闵行区市华漕镇许浦村三队
中风险,上海,闵行区市梅陇镇行南村三队
中风险,上海,闵行区市梅陇镇许泾村八组
中风险,上海,崇明区市长兴镇新港村15队
中风险,上海,崇明区市长兴镇长明村21队
中风险,上海,嘉定区市江桥镇增建村柴中村民组
中风险,上海,嘉定区市马陆镇康年路261号工地宿舍
中风险,上海,黄浦区市打浦桥街道顺昌路612弄20号
中风险,吉林,吉林市昌邑区左家镇王家岭村
中风险,吉林,吉林市昌邑区莲花街道沈铁幸福里小区12号楼2单元
中风险,吉林,吉林市昌邑区桦皮厂镇平胜村
中风险,吉林,吉林市昌邑区孤店子镇孤店子村
中风险,吉林,吉林市丰满区小白山乡鸡冠山村1社
中风险,吉林,吉林市丰满区前二道乡王相村5组
中风险,吉林,吉林市丰满区前二道乡王相村5组
中风险,吉林,吉林市丰满区泰山街道如一坊中央公园8号楼
中风险,吉林,吉林市丰满区江南街道恒东花园小区1号楼2单元
中风险,吉林,吉林市经开区九站街道雾凇水岸小区
中风险,吉林,吉林市龙潭区承德街道江山如画小区3号楼3单元
中风险,吉林,吉林市昌邑区兴华街道兴田上城7号楼A座
中风险,吉林,吉林市船营区青岛街道庆丰小区12号楼5单元
中风险,吉林,吉林市船营区北山街道乐园一区17号楼
中风险,吉林,吉林市船营区北山街道乐园一区12号楼
中风险,吉林,吉林市昌邑区东局子街道嘉业花园小区1号楼5单元
中风险,吉林,吉林市昌邑区民主街道兴国胡同27号岔路乡公寓
中风险,吉林,吉林市昌邑区桦皮厂镇鳌龙河村
中风险,吉林,吉林市昌邑区桦皮厂镇庆祥村
中风险,吉林,吉林市昌邑区桦皮厂镇乔屯村
中风险,吉林,吉林市昌邑区桦皮厂镇乐园村
中风险,吉林,吉林市昌邑区桦皮厂镇东风村
中风险,吉林,吉林市昌邑区莲花街道卢瓦尔小镇D38号楼
中风险,吉林,吉林市昌邑区民主街道运河里小区15号楼3单元
中风险,吉林,吉林市昌邑区站前街道桃花源小区1号楼1单元
中风险,吉林,吉林市昌邑区哈达湾经济开发区神华万利城16栋3单元
中风险,吉林,吉林市昌邑区两家子满族乡两家子村二组
中风险,吉林,吉林市昌邑区桦皮厂镇永胜村十二组
中风险,吉林,吉林市昌邑区桦皮厂镇漂洋村十二组
中风险,吉林,吉林市昌邑区桦皮厂镇苏登河村四组
中风险,吉林,吉林市昌邑区两家子乡李屯村
中风险,吉林,吉林市昌邑区桦皮厂镇张相村
中风险,吉林,吉林市昌邑区桦皮厂镇桦东村
中风险,吉林,吉林市船营区北极街道望云山景小区
中风险,吉林,吉林市龙潭区山前街道万兴家和小区1号楼2单元
中风险,吉林,吉林市船营区北极街道森林里小区23号楼4单元
中风险,吉林,吉林市丰满区龙城帝景小区103栋
中风险,吉林,长春市经开区兴隆山镇分水村
中风险,吉林,长春市经开区东方广场街道恒大帝景一期
中风险,吉林,长春市长春新区飞跃街道新星宇之新观邸
中风险,吉林,长春市长春新区超越街道恒盛豪庭
中风险,吉林,长春市长春新区北湖街道北湾新城四期
中风险,吉林,长春市九台区纪家街道纪家村
中风险,吉林,长春市宽城区凯旋街道友谊花园小区
中风险,吉林,长春市绿园区青年街道133厂小区
中风险,吉林,长春市绿园区林园街道大禹华邦B区
中风险,吉林,长春市绿园区林园街道3535小区
中风险,吉林,长春市绿园区正阳街道娜奇美4区
中风险,吉林,长春市绿园区普阳街道吉业花园
中风险,吉林,长春市绿园区普阳街道辽阳街（101栋、143栋、201栋）
中风险,吉林,长春市朝阳区湖西街道开运街1629号楼
中风险,吉林,长春市南关区鸿城街道农研家属楼
中风险,吉林,长春市南关区明珠街道幸福乡政府宿舍楼
中风险,吉林,长春市南关区明珠街道万科金域长春
中风险,吉林,长春市南关区明珠街道力旺美林
中风险,吉林,长春市南关区明珠街道新城小区
中风险,吉林,长春市南关区幸福乡国信一期
中风险,吉林,长春市经开区兴隆山镇吴中北国之春
中风险,吉林,长春市经开区兴隆山镇金色家园
中风险,吉林,长春市经开区会展街道北海丽景
中风险,吉林,长春市汽开区锦城街道恒大首府
中风险,吉林,长春市汽开区锦城街道中铁国际花园
中风险,吉林,长春市汽开区锦城街道47街区
中风险,吉林,长春市长春新区硅谷街道恒大雅苑
中风险,吉林,长春市长春新区超越街道万龙丽水湾二期
中风险,吉林,长春市长春新区北湖街道北湖花园
中风险,吉林,长春市榆树市于家镇红旗村孙成岗屯
中风险,吉林,长春市榆树市闵家镇西北地村
中风险,吉林,长春市榆树市大岭镇怀家蓝旗村
中风险,吉林,长春市榆树市环城乡东岭村小河屯
中风险,吉林,长春市榆树市城郊街道和泰府
中风险,吉林,长春市榆树市华昌街道图书馆家属楼
中风险,吉林,长春市净月区德正街道保利香槟
中风险,吉林,长春市净月区德容街道福临花园
中风险,吉林,长春市九台区沐石河街道张家村
中风险,吉林,长春市九台区沐石河街道杨树村
中风险,吉林,长春市九台区沐石河街道卢家村
中风险,吉林,长春市九台区沐石河街道八家子村
中风险,吉林,长春市九台区沐石河街道孤家子村
中风险,吉林,长春市九台区其塔木镇北山村
中风险,吉林,长春市九台区苇子沟街道大苇村
中风险,吉林,长春市九台区主城区
中风险,吉林,长春市绿园区同心街道
中风险,吉林,长春市二道区远达街道昊泽家园
中风险,吉林,长春市二道区八里堡街道力旺康城
中风险,吉林,长春市朝阳区南湖街道长春大学卫星路以南八公寓
中风险,吉林,长春市南关区明珠街道长春大学公寓
中风险,吉林,长春市南关区富裕街道金色世界湾
中风险,吉林,长春市南关区南岭街道御翠豪庭
中风险,吉林,长春市南关区明珠街道长春大学
中风险,吉林,长春市南关区鸿城街道卫星花园
中风险,吉林,长春市南关区明珠街道中铁十三局宿舍
中风险,吉林,长春市南关区明珠街道卫星商城
中风险,吉林,长春市经开区兴隆山镇中海寰宇天下
中风险,吉林,长春市长春新区超越街道修正药业宿舍
高风险,北京,朝阳区市酒仙桥街道二街坊
高风险,河北,廊坊市霸州市胜芳镇欧韵城小区
高风险,河北,唐山市高新技术开发区盛华世家仓储购物市场
高风险,河北,廊坊市安次区葛渔城镇全域
高风险,吉林,长春市绿园区青年路街道宇航社区
高风险,吉林,长春市宽城区团山街道小南街社区
高风险,吉林,长春市九台区九郊街道新州社区
高风险,吉林,吉林市昌邑区延江街道江山帝景小区
高风险,吉林,吉林市昌邑区桦皮厂镇桦皮厂社区
高风险,吉林,吉林市经开区九站街道农校社区八委十组（九龙路以南、经开大街以东、翰林路以南）
高风险,黑龙江,佳木斯市汤原县阳光河畔小区
高风险,黑龙江,佳木斯市汤原县东湖城小区
高风险,辽宁,沈阳市辽中区茨榆坨街道
高风险,辽宁,营口市鲅鱼圈区北大荒物流股份有限公司
高风险,福建,泉州市丰泽区城东街道浔美社区
高风险,福建,泉州市丰泽区滨海酒店
高风险,山东,滨州市阳信县翟王镇
